[0.123,12.012],
[0.169,300],
[0.201,11.791],
[0.52,300],
[0.528,300],
[0.482,300],
[0.454,300],
[0.602,300],
[0.497,300],
[0.477,300],
[0.487,300],
[0.548,300],
[0.798,300],
[0.646,64.075],
[1.135,300],
[1.047,300],
[0.801,70.82],
[0.869,300],
[0.695,68.438],
[0.83,300],
[0.734,64.364],
[0.881,300],
[0.709,67.927],
[1.089,300],
[0.715,65.887],
[1.147,300],
[0.747,72.555],
[1.122,300],
[0.745,66.423],
[0.795,300],
[0.671,66.411],
[1.005,300],
[0.659,66.449],
[3.21,300],
[3.426,300],
[4.61,300],
[4.015,300],
[3.055,300],
[3.354,300],
[3.72,300],
[2.884,300],
[2.991,300],
[4.714,300],
[7.982,300],
[8.105,300],
[9.091,300],
[9.942,300],
[11.409,300],
[8.476,300],
[13.294,300],
[9.743,300],
[11.517,300],
[10.446,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[0.0,300],
[52.889,300],
[75.183,300],
[86.433,300],
[58.509,300],
[55.32,300],
[69.273,300],
[78.813,300],
[95.033,300],
[69.65,300],
[43.642,300],
[192.131,300],
[165.578,300],
[200.419,300],
[191.773,300],
[245.76,300],
[139.066,300],
[197.557,300],
[164.974,300],
[170.22,300],
[283.026,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.001,300],
[0.003,300],
[0.003,300],
[0.003,300],
[0.003,300],
[0.003,300],
[0.004,300],
[0.005,300],
[0.004,300],
[0.004,300],
[0.004,300],
